date,open,close,high,low,volume,turnover
2024-01-17,23.940,23.170,23.960,23.160,221921.000,
2024-01-18,22.900,23.740,23.800,22.750,288223.000,
2024-01-19,23.580,23.540,24.650,23.450,330414.000,
2024-01-22,23.100,22.070,23.200,21.910,323940.000,
2024-01-23,21.940,22.020,22.620,21.460,226713.000,
2024-01-24,22.070,21.500,22.220,20.630,412324.000,
2024-01-25,21.280,21.650,21.740,20.820,314079.000,
2024-01-26,21.450,21.170,21.920,21.100,234962.000,
2024-01-29,21.110,19.760,21.170,19.690,362019.000,
2024-01-30,19.630,19.130,20.080,19.100,227768.000,
2024-01-31,18.990,18.680,19.800,18.680,309419.000,
2024-02-01,18.580,18.310,18.800,18.080,214677.000,
2024-02-02,18.310,17.540,18.450,16.800,271832.000,
2024-02-05,17.420,16.630,17.540,16.070,317555.000,
2024-02-06,16.500,17.680,17.820,16.400,303582.000,
2024-02-07,17.800,17.750,18.220,17.410,325315.000,
2024-02-08,18.000,18.430,18.470,17.700,335346.000,
2024-02-19,18.520,18.450,18.560,18.100,252622.000,
2024-02-20,18.330,18.400,18.530,18.040,177633.000,
2024-02-21,18.180,18.810,19.310,18.120,331602.000,
2024-02-22,18.700,19.030,19.150,18.630,163774.000,
2024-02-23,19.120,19.290,19.360,18.970,201697.000,
2024-02-26,19.190,19.500,19.830,19.110,256538.000,
2024-02-27,19.480,19.740,19.740,19.260,224451.000,
2024-02-28,19.900,19.480,21.300,19.410,524402.000,
2024-02-29,19.280,20.640,20.700,19.220,448206.000,
2024-03-01,20.800,20.620,20.910,20.400,303377.000,
2024-03-04,20.630,20.340,20.900,20.180,221502.000,
2024-03-05,20.070,19.980,20.150,19.690,201176.000,
2024-03-06,19.800,20.070,20.500,19.600,177525.000,
2024-03-07,20.080,19.410,20.250,19.400,177583.000,
2024-03-08,19.390,19.340,19.800,19.120,159788.000,
2024-03-11,20.460,21.270,21.270,20.450,234183.000,
2024-03-12,22.640,22.690,23.250,22.400,1087850.000,
2024-03-13,22.380,23.020,23.680,22.210,710510.000,
2024-03-14,22.980,22.220,23.300,21.980,543497.000,
