date,open,close,high,low,volume,turnover
2025-01-22,18.600,18.320,18.680,18.220,173120.000,
2025-01-23,18.500,18.160,18.750,18.160,177066.000,
2025-01-24,18.100,18.550,18.880,18.100,274339.000,
2025-01-27,18.620,18.280,18.840,18.280,172470.000,
2025-02-05,18.430,18.220,18.450,18.070,170785.000,
2025-02-06,18.140,19.020,19.150,18.060,349882.000,
2025-02-07,19.100,19.930,20.320,19.020,475201.000,
2025-02-10,20.010,19.660,20.020,19.310,460777.000,
2025-02-11,19.670,19.000,19.670,18.860,417875.000,
2025-02-12,18.920,19.610,19.990,18.810,583060.000,
2025-02-13,19.550,19.360,19.810,19.350,439664.000,
2025-02-14,19.330,19.550,20.200,19.330,405321.000,
2025-02-17,19.600,19.180,19.670,19.000,420137.000,
2025-02-18,19.380,19.430,19.960,19.210,613613.000,
2025-02-19,19.260,19.500,19.560,19.030,385877.000,
2025-02-20,19.390,19.260,19.440,19.050,332044.000,
2025-02-21,19.260,19.760,19.860,19.230,537512.000,
2025-02-24,20.080,20.270,20.530,19.700,636046.000,
2025-02-25,20.010,20.150,20.500,19.830,445503.000,
2025-02-26,20.140,20.750,20.830,20.140,503496.000,
2025-02-27,20.830,21.620,21.660,20.570,785120.000,
2025-02-28,21.400,20.880,22.180,20.800,817006.000,
2025-03-03,21.260,22.120,22.500,21.260,951009.000,
2025-03-04,21.560,20.900,21.590,20.690,727595.000,
2025-03-05,20.800,20.800,20.910,20.540,327472.000,
2025-03-06,20.850,20.880,21.120,20.760,393722.000,
2025-03-07,20.670,20.410,20.820,20.200,414986.000,
2025-03-10,20.320,20.420,20.540,20.200,281208.000,
2025-03-11,20.200,20.400,20.460,20.040,220687.000,
2025-03-12,20.410,20.460,20.720,20.310,307695.000,
2025-03-13,20.490,19.960,20.770,19.850,375542.000,
2025-03-14,19.800,20.140,20.240,19.560,325045.000,
2025-03-17,20.160,20.120,20.380,20.010,270960.000,
2025-03-18,20.160,20.300,20.450,20.150,268135.000,
2025-03-19,20.250,20.040,20.270,19.960,216628.000,
2025-03-20,20.030,19.690,20.030,19.680,213687.000,
2025-03-21,19.660,19.270,19.770,19.170,235693.000,
2025-03-24,19.240,19.400,19.460,19.010,196736.000,
2025-03-25,19.400,19.500,19.650,19.230,172689.000,
2025-03-26,19.400,19.310,19.560,19.300,133430.000,
2025-03-27,19.250,19.180,19.390,19.000,159409.000,
2025-03-28,19.180,19.000,19.300,19.000,124346.000,
2025-03-31,18.880,18.640,18.960,18.410,183378.000,
