ma_combo,exit_signal,avg_return,avg_win_rate,avg_drawdown,avg_trades,profitable_stocks,total_stocks,profit_ratio
MA15/MA20,天量见顶,0.17687033914257044,76.92101740294513,0.2181963935297668,1.8855421686746987,334,498,67.06827309236948
MA15/MA20,量价背离,0.12718850782329336,91.16465863453816,0.2078026768637812,2.104417670682731,321,498,64.45783132530121
MA15/MA20,固定止盈 10%,0.12469609409236967,87.95180722891567,0.20567261954291524,1.9116465863453815,336,498,67.46987951807229
MA15/MA20,固定止盈 15%,0.14420828942771097,80.52208835341365,0.21637835789113877,1.4397590361445782,327,498,65.66265060240963
MA15/MA20,死叉卖出,0.12512486914056264,47.19257984318226,0.22330449580058398,6.098393574297189,284,498,57.028112449799195
MA15/MA30,缩量止盈,0.09723854501606438,81.72690763052209,0.20213400975988252,1.355421686746988,299,498,60.040160642570285
MA15/MA30,放量滞涨,0.13126453563052223,64.37416331994645,0.17525055747938642,1.8734939759036144,307,498,61.64658634538153
MA15/MA30,天量见顶,0.12471211323293184,72.61713520749664,0.18803115562813308,1.5461847389558232,324,498,65.06024096385542
MA15/MA30,量价背离,0.09201849581325314,86.144578313253,0.18052416542861857,1.5080321285140563,314,498,63.05220883534136
MA15/MA30,固定止盈 10%,0.09617682162650615,83.13253012048193,0.17278205733636964,1.4257028112449799,325,498,65.26104417670683
MA15/MA30,固定止盈 15%,0.11942053843775112,74.8995983935743,0.19053843528852266,1.1325301204819278,317,498,63.65461847389559
MA15/MA30,死叉卖出,0.10576032864056248,43.96968827691719,0.218566556119518,3.0923694779116464,263,498,52.81124497991968
MA20/MA30,缩量止盈,0.10194038605421699,80.52208835341365,0.20213922328237585,1.3775100401606426,307,498,61.64658634538153
MA20/MA30,放量滞涨,0.13387817529919693,65.58567603748327,0.18516983430290884,1.9236947791164658,305,498,61.24497991967871
MA20/MA30,天量见顶,0.12826201809437765,74.07295850066933,0.19063020342250556,1.5803212851405624,322,498,64.65863453815261
MA20/MA30,量价背离,0.09246165076907643,85.5421686746988,0.18145721868711656,1.5481927710843373,317,498,63.65461847389559
MA20/MA30,固定止盈 10%,0.10073619150401619,82.53012048192771,0.17443154996511154,1.461847389558233,324,498,65.06024096385542
MA20/MA30,固定止盈 15%,0.11935964008032139,73.89558232931726,0.1914646701081429,1.1485943775100402,317,498,63.65461847389559
MA20/MA30,死叉卖出,0.11198634507429744,42.1268406961178,0.22180574445190926,3.3514056224899598,259,498,52.00803212851406
MA20/MA60,缩量止盈,0.02573139260843379,54.81927710843374,0.14510632724710112,0.608433734939759,259,498,52.00803212851406
MA20/MA60,放量滞涨,0.038262116809237016,44.87951807228916,0.12446121543681031,0.8734939759036144,234,498,46.98795180722892
MA20/MA60,天量见顶,0.03194564560441774,50.334672021419,0.12041826726099815,0.7931726907630522,256,498,51.40562248995983
MA20/MA60,量价背离,0.022317635925702867,59.036144578313255,0.12805100051217488,0.6726907630522089,267,498,53.6144578313253
MA20/MA60,固定止盈 10%,0.019550093935743033,54.21686746987952,0.12421792361245293,0.6405622489959839,251,498,50.401606425702816
MA20/MA60,固定止盈 15%,0.016008329600401657,44.17670682730924,0.14419238386346875,0.4779116465863454,225,498,45.18072289156627
MA20/MA60,死叉卖出,0.019893829907630597,18.189424364123155,0.17984592607359404,1.1024096385542168,161,498,32.329317269076306
MA30/MA60,缩量止盈,0.023319336335341428,54.81927710843374,0.14615262492442285,0.6184738955823293,246,498,49.39759036144578
MA30/MA60,放量滞涨,0.029298090285140632,44.81258366800536,0.1329415585122444,0.8514056224899599,229,498,45.98393574297189
MA30/MA60,天量见顶,0.03043153424497999,49.531459170013385,0.12512050278832873,0.7771084337349398,255,498,51.204819277108435
MA30/MA60,量价背离,0.018199198074297256,58.63453815261044,0.13186391507372558,0.6927710843373494,256,498,51.40562248995983
MA30/MA60,固定止盈 10%,0.02418098093775107,58.032128514056225,0.12576300798431808,0.678714859437751,263,498,52.81124497991968
MA30/MA60,固定止盈 15%,0.024397711801204876,45.78313253012048,0.14430700388653175,0.5100401606425703,230,498,46.1847389558233
MA30/MA60,死叉卖出,0.017636654546184818,20.03012048192771,0.18674910054753652,1.0481927710843373,160,498,32.1285140562249
